ts,session_id,frame_idx,faces_in_frame,recognized_flag,unknown_flag,worker,confidence,x1,y1,x2,y2
1758342322.4968681,e66809b3,0,1,1,0,worker1,0.9129,391,88,467,182
1758342323.332536,e66809b3,5,1,1,0,worker1,0.85,392,89,465,182
1758342324.039118,e66809b3,10,1,1,0,worker1,0.9314,393,90,468,182
1758342324.247199,e66809b3,15,1,1,0,worker1,0.9223,393,90,469,182
1758342324.9152498,e66809b3,20,1,1,0,worker1,0.8556,395,90,468,180
1758342325.900434,e66809b3,25,1,1,0,worker1,0.9311,394,90,470,182
1758342326.2813041,e66809b3,30,1,1,0,worker1,0.9224,394,90,469,182
1758342327.401246,e66809b3,35,1,1,0,worker1,0.8525,394,89,468,180
1758342327.623286,e66809b3,40,1,1,0,worker1,0.9289,393,89,469,182
1758342328.248422,e66809b3,45,2,1,0,worker1,0.9068,393,89,469,182
1758342328.248422,e66809b3,45,2,1,0,worker1,0.9068,392,88,469,184
1758342328.824481,e66809b3,50,1,1,0,worker1,0.8287,394,89,467,183
1758342329.047013,e66809b3,55,1,1,0,worker1,0.9268,392,87,468,185
1758342330.054553,e66809b3,60,1,1,0,worker1,0.8905,392,88,469,185
1758342330.749515,e66809b3,65,1,1,0,worker1,0.814,394,90,469,185
1758342330.938109,e66809b3,70,1,1,0,worker1,0.9183,391,89,467,186
1758342331.5203662,e66809b3,75,1,1,0,worker1,0.8926,390,88,466,185
1758342331.739574,e66809b3,80,1,1,0,worker1,0.7955,393,88,468,184
1758342332.3185668,e66809b3,85,1,1,0,worker1,0.9182,392,88,468,186
1758342333.076927,e66809b3,90,1,1,0,worker1,0.9157,391,88,468,187
1758342333.3206668,e66809b3,95,1,1,0,worker1,0.8154,392,90,466,185
1758342334.0769851,e66809b3,100,1,1,0,worker1,0.9109,391,89,467,187
1758342334.6762052,e66809b3,105,1,1,0,worker1,0.9093,391,89,467,187
1758342334.964573,e66809b3,110,1,1,0,worker1,0.8341,392,90,466,184
1758342335.579799,e66809b3,115,1,1,0,worker1,0.9064,392,88,468,187
1758342335.79659,e66809b3,120,1,1,0,worker1,0.9163,392,88,468,187
1758342336.369678,e66809b3,125,1,1,0,worker1,0.8247,393,88,467,184
1758342337.608099,e66809b3,130,1,1,0,worker1,0.8891,391,88,468,186
1758342337.8177369,e66809b3,135,1,1,0,worker1,0.8854,391,87,468,186
1758342338.442102,e66809b3,140,1,1,0,worker1,0.8093,392,89,466,184
1758342339.135455,e66809b3,145,1,1,0,worker1,0.8896,391,88,468,186
1758342339.366582,e66809b3,150,1,1,0,worker1,0.8763,391,87,468,186
1758342339.933727,e66809b3,155,1,1,0,worker1,0.7969,393,89,467,184
1758342340.1349561,e66809b3,160,1,1,0,worker1,0.8768,392,88,469,186
1758342341.0622668,e66809b3,165,1,1,0,worker1,0.8856,392,88,468,186
1758342341.932401,e66809b3,170,1,1,0,worker1,0.8017,392,88,467,185
1758342342.698206,e66809b3,175,1,1,0,worker1,0.8699,391,88,468,186
1758342343.5933728,e66809b3,180,2,1,0,worker1,0.8748,391,88,468,186
1758342343.5933728,e66809b3,180,2,1,0,worker1,0.8748,392,89,468,186
