ts,session_id,frame_idx,faces_in_frame,recognized_flag,unknown_flag,worker,confidence,x1,y1,x2,y2
1757841464.000224,ba07e35f,0,1,1,0,worker1,0.9171,391,89,466,182
1757841464.8398077,ba07e35f,5,1,1,0,worker1,0.9194,392,89,467,182
1757841465.7357974,ba07e35f,10,1,1,0,worker1,0.9259,393,90,468,182
1757841466.5940263,ba07e35f,15,1,1,0,worker1,0.9211,393,90,469,182
1757841467.4404511,ba07e35f,20,1,1,0,worker1,0.9385,394,91,470,182
1757841468.225189,ba07e35f,25,1,1,0,worker1,0.9405,394,90,470,182
1757841468.941404,ba07e35f,30,1,1,0,worker1,0.9457,394,90,470,182
1757841469.7045033,ba07e35f,35,1,1,0,worker1,0.9477,394,90,469,182
1757841470.6228619,ba07e35f,40,1,1,0,worker1,0.9465,393,90,469,183
1757841471.2239769,ba07e35f,45,1,1,0,worker1,0.9283,393,89,469,184
1757841471.8655858,ba07e35f,50,1,1,0,worker1,0.9379,392,88,468,185
1757841472.6420565,ba07e35f,55,1,1,0,worker1,0.9332,392,88,468,186
1757841473.3701715,ba07e35f,60,1,1,0,worker1,0.9028,392,89,469,186
1757841473.939484,ba07e35f,65,1,1,0,worker1,0.9253,394,89,469,186
1757841474.5173147,ba07e35f,70,1,1,0,worker1,0.9355,391,90,467,187
1757841475.1019318,ba07e35f,75,1,1,0,worker1,0.9096,390,88,466,186
1757841475.659339,ba07e35f,80,1,1,0,worker1,0.9203,392,88,468,186
1757841476.2686877,ba07e35f,85,1,1,0,worker1,0.9313,392,89,468,186
1757841476.910162,ba07e35f,90,1,1,0,worker1,0.9315,391,89,467,186
1757841477.4803019,ba07e35f,95,1,1,0,worker1,0.9297,391,89,467,187
1757841478.0598576,ba07e35f,100,1,1,0,worker1,0.9331,391,89,467,187
1757841478.6560845,ba07e35f,105,1,1,0,worker1,0.9325,391,89,467,187
1757841479.2044063,ba07e35f,110,1,1,0,worker1,0.9319,391,89,467,187
1757841479.772953,ba07e35f,115,1,1,0,worker1,0.9307,392,88,468,187
1757841480.347836,ba07e35f,120,1,1,0,worker1,0.9277,392,88,468,187
1757841480.9361522,ba07e35f,125,1,1,0,worker1,0.9234,392,88,468,186
1757841481.5317314,ba07e35f,130,1,1,0,worker1,0.8814,391,88,468,186
1757841482.072033,ba07e35f,135,1,1,0,worker1,0.8839,391,88,468,186
1757841482.6876748,ba07e35f,140,1,1,0,worker1,0.8885,391,88,468,186
1757841483.3180156,ba07e35f,145,1,1,0,worker1,0.8903,391,88,468,186
1757841483.952826,ba07e35f,150,1,1,0,worker1,0.8887,391,88,468,186
1757841484.581124,ba07e35f,155,1,1,0,worker1,0.8936,392,88,468,186
1757841485.1749535,ba07e35f,160,1,1,0,worker1,0.886,392,88,469,186
1757841485.7674036,ba07e35f,165,1,1,0,worker1,0.8955,392,88,468,186
1757841486.4033515,ba07e35f,170,1,1,0,worker1,0.8899,392,88,468,186
1757841486.9981961,ba07e35f,175,1,1,0,worker1,0.8848,392,88,468,186
1757841487.5940175,ba07e35f,180,1,1,0,worker1,0.8881,392,89,468,186
