ts,session_id,frame_idx,faces_in_frame,recognized_flag,unknown_flag,worker,confidence,x1,y1,x2,y2
1758285021.242385,ca4eb048,0,1,1,0,worker1,0.9143,391,89,466,182
1758285023.4157388,ca4eb048,5,1,1,0,worker1,0.9165,392,89,467,182
1758285024.08946,ca4eb048,10,1,1,0,worker1,0.9235,393,90,468,182
1758285024.396065,ca4eb048,15,1,1,0,worker1,0.9233,393,90,469,182
1758285025.016971,ca4eb048,20,1,1,0,worker1,0.9372,394,91,470,182
1758285025.6276102,ca4eb048,25,1,1,0,worker1,0.9414,394,90,470,182
1758285025.927115,ca4eb048,30,1,1,0,worker1,0.9441,394,90,470,182
1758285026.5730581,ca4eb048,35,1,1,0,worker1,0.9459,393,90,469,182
1758285026.866689,ca4eb048,40,1,1,0,worker1,0.9459,393,90,469,183
1758285027.534359,ca4eb048,45,1,1,0,worker1,0.9272,393,89,469,184
1758285028.152839,ca4eb048,50,1,1,0,worker1,0.9391,392,88,468,185
1758285028.443572,ca4eb048,55,1,1,0,worker1,0.9339,392,88,468,186
1758285029.0889611,ca4eb048,60,1,1,0,worker1,0.9006,392,89,469,185
1758285029.677351,ca4eb048,65,1,1,0,worker1,0.9269,394,89,469,186
1758285029.939126,ca4eb048,70,1,1,0,worker1,0.9326,391,90,467,187
1758285030.535042,ca4eb048,75,1,1,0,worker1,0.9086,390,88,466,186
1758285030.8014941,ca4eb048,80,1,1,0,worker1,0.9209,392,88,468,186
1758285031.470211,ca4eb048,85,1,1,0,worker1,0.9315,392,89,468,187
1758285032.190507,ca4eb048,90,1,1,0,worker1,0.9296,391,88,467,187
1758285032.449572,ca4eb048,95,1,1,0,worker1,0.9295,391,89,467,187
1758285033.031069,ca4eb048,100,1,1,0,worker1,0.9342,391,89,467,187
1758285033.647748,ca4eb048,105,1,1,0,worker1,0.9331,391,89,467,187
1758285033.9049752,ca4eb048,110,1,1,0,worker1,0.9315,391,88,467,187
1758285034.4801888,ca4eb048,115,1,1,0,worker1,0.9296,392,88,468,187
1758285034.742291,ca4eb048,120,1,1,0,worker1,0.9266,392,88,468,187
1758285035.321501,ca4eb048,125,1,1,0,worker1,0.9193,392,88,468,186
1758285035.90675,ca4eb048,130,1,1,0,worker1,0.8817,391,88,468,186
1758285036.179459,ca4eb048,135,1,1,0,worker1,0.8837,391,88,468,186
1758285036.778477,ca4eb048,140,1,1,0,worker1,0.8874,391,88,468,186
1758285037.400621,ca4eb048,145,1,1,0,worker1,0.8901,391,88,468,186
1758285037.6905012,ca4eb048,150,1,1,0,worker1,0.8874,391,88,468,186
1758285038.28295,ca4eb048,155,1,1,0,worker1,0.8936,392,88,468,186
1758285038.5458539,ca4eb048,160,1,1,0,worker1,0.8869,392,88,469,186
1758285039.152952,ca4eb048,165,1,1,0,worker1,0.8958,392,88,468,186
1758285039.749023,ca4eb048,170,1,1,0,worker1,0.8913,392,88,468,186
1758285040.0380359,ca4eb048,175,1,1,0,worker1,0.8846,392,88,468,186
1758285040.6861598,ca4eb048,180,1,1,0,worker1,0.8872,392,89,468,186
