frame_idx,class,x1,y1,x2,y2
0,NO-Safety Vest,302,194,558,473
0,Hardhat,372,52,482,124
8,NO-Safety Vest,301,194,559,474
8,Hardhat,373,52,483,124
16,NO-Safety Vest,302,195,560,474
16,Hardhat,374,52,484,125
24,NO-Safety Vest,302,194,560,474
24,Hardhat,374,53,485,124
32,NO-Safety Vest,302,194,560,474
32,Hardhat,374,53,485,125
40,NO-Safety Vest,302,194,560,474
40,Hardhat,374,53,485,125
48,NO-Safety Vest,301,195,559,474
48,Hardhat,373,52,484,126
56,NO-Safety Vest,300,195,561,473
56,Hardhat,373,53,484,126
64,NO-Safety Vest,302,195,565,462
64,Hardhat,375,53,485,125
72,NO-Safety Vest,303,195,567,464
72,Hardhat,372,53,483,125
80,NO-Safety Vest,302,196,564,464
80,Hardhat,374,53,484,127
88,NO-Safety Vest,301,195,564,465
88,Hardhat,373,53,483,127
96,NO-Safety Vest,301,195,565,467
96,Hardhat,372,53,483,126
104,NO-Safety Vest,301,195,564,467
104,Hardhat,372,53,483,126
112,NO-Safety Vest,300,195,564,466
112,Hardhat,373,53,483,126
120,NO-Safety Vest,299,195,565,467
120,Hardhat,373,53,483,126
128,NO-Safety Vest,303,195,564,465
128,Hardhat,373,53,484,126
136,NO-Safety Vest,303,195,564,466
136,Hardhat,373,53,483,126
144,NO-Safety Vest,302,195,565,467
144,Hardhat,373,53,483,126
152,NO-Safety Vest,302,195,565,467
152,Hardhat,373,53,484,126
160,NO-Safety Vest,302,195,565,465
160,Hardhat,374,53,484,126
168,NO-Safety Vest,301,195,565,465
168,Hardhat,373,54,484,126
176,NO-Safety Vest,302,195,565,463
176,Hardhat,373,54,484,126
184,NO-Safety Vest,301,195,564,462
184,Hardhat,373,54,484,127
