ts,session_id,frame_idx,faces_in_frame,recognized_flag,unknown_flag,worker,confidence,x1,y1,x2,y2
1758416851.935797,da95461c,0,1,1,0,worker1,0.9143,391,89,466,182
1758416851.964457,da95461c,1,1,1,0,worker1,0.9143,391,89,466,182
1758416852.328267,da95461c,2,1,1,0,worker1,0.9157,391,89,467,182
1758416852.3705332,da95461c,3,1,1,0,worker1,0.9157,391,89,467,182
1758416852.658101,da95461c,4,1,1,0,worker1,0.9078,392,89,467,182
1758416852.675204,da95461c,5,1,1,0,worker1,0.9078,392,89,467,182
1758416852.882617,da95461c,6,1,1,0,worker1,0.9219,392,89,467,182
1758416852.898728,da95461c,7,1,1,0,worker1,0.9219,392,89,467,182
1758416853.4983099,da95461c,8,1,1,0,worker1,0.9228,392,89,468,182
1758416853.521952,da95461c,9,1,1,0,worker1,0.9228,392,89,468,182
1758416853.716366,da95461c,10,1,1,0,worker1,0.9235,393,90,468,182
1758416853.7323709,da95461c,11,1,1,0,worker1,0.9235,394,92,466,180
1758416853.922411,da95461c,12,1,1,0,worker1,0.9178,393,90,468,182
1758416853.938547,da95461c,13,1,1,0,worker1,0.9178,393,90,468,182
1758416854.127285,da95461c,14,1,1,0,worker1,0.9273,393,90,469,182
1758416854.143094,da95461c,15,1,1,0,worker1,0.9273,394,92,467,180
1758416854.66908,da95461c,16,1,1,0,worker1,0.9311,393,90,469,182
1758416854.6859572,da95461c,17,1,1,0,worker1,0.9311,393,90,469,182
1758416854.8819,da95461c,18,1,1,0,worker1,0.9337,394,90,469,182
1758416854.898487,da95461c,19,1,1,0,worker1,0.9337,392,88,470,184
1758416855.0877728,da95461c,20,1,1,0,worker1,0.9372,394,91,470,182
1758416855.1039228,da95461c,21,1,1,0,worker1,0.9372,394,91,470,182
1758416855.28362,da95461c,22,1,1,0,worker1,0.9362,394,90,470,182
1758416855.2996778,da95461c,23,1,1,0,worker1,0.9362,394,90,470,182
1758416855.8131928,da95461c,24,1,1,0,worker1,0.9354,394,90,470,182
1758416855.830953,da95461c,25,1,1,0,worker1,0.9354,395,91,470,181
1758416856.049907,da95461c,26,1,1,0,worker1,0.9436,394,90,470,182
1758416856.066218,da95461c,27,1,1,0,worker1,0.9436,394,90,470,182
1758416856.262793,da95461c,28,1,1,0,worker1,0.9387,394,90,470,182
1758416856.279168,da95461c,29,1,1,0,worker1,0.9387,394,90,470,182
1758416856.464869,da95461c,30,1,1,0,worker1,0.9441,394,90,470,182
1758416856.480803,da95461c,31,1,1,0,worker1,0.9441,394,90,470,182
1758416856.983684,da95461c,32,1,1,0,worker1,0.9441,394,90,469,183
1758416857.003846,da95461c,33,1,1,0,worker1,0.9441,394,90,469,183
1758416857.201708,da95461c,34,1,1,0,worker1,0.9467,393,90,470,182
1758416857.223304,da95461c,35,1,1,0,worker1,0.9467,393,90,470,182
1758416857.407802,da95461c,36,1,1,0,worker1,0.947,393,90,469,182
1758416857.4239979,da95461c,37,1,1,0,worker1,0.947,393,90,469,182
1758416857.608782,da95461c,38,1,1,0,worker1,0.9466,393,90,469,183
1758416857.630319,da95461c,39,1,1,0,worker1,0.9466,393,90,469,183
1758416858.17522,da95461c,40,1,1,0,worker1,0.9459,393,90,469,183
1758416858.198375,da95461c,41,1,1,0,worker1,0.9459,393,90,469,183
1758416858.383511,da95461c,42,1,1,0,worker1,0.9468,393,89,469,183
1758416858.4018629,da95461c,43,1,1,0,worker1,0.9468,393,89,469,183
1758416858.603054,da95461c,44,1,1,0,worker1,0.9403,393,89,469,183
1758416858.6191602,da95461c,45,1,1,0,worker1,0.9403,394,91,467,181
1758416858.813041,da95461c,46,1,1,0,worker1,0.9361,393,88,469,185
1758416858.830077,da95461c,47,1,1,0,worker1,0.9361,393,88,469,185
1758416859.3709598,da95461c,48,1,1,0,worker1,0.933,392,88,468,185
1758416859.3892171,da95461c,49,1,1,0,worker1,0.933,392,88,468,185
1758416859.5873191,da95461c,50,1,1,0,worker1,0.9391,392,88,468,185
1758416859.6050858,da95461c,51,1,1,0,worker1,0.9391,392,88,468,185
1758416859.790265,da95461c,52,1,1,0,worker1,0.934,392,88,468,186
1758416859.8063722,da95461c,53,1,1,0,worker1,0.934,390,85,471,189
1758416860.000062,da95461c,54,1,1,0,worker1,0.9376,392,88,468,186
1758416860.017287,da95461c,55,1,1,0,worker1,0.9376,392,88,468,186
1758416860.5609338,da95461c,56,1,1,0,worker1,0.9256,392,88,468,186
1758416860.577749,da95461c,57,1,1,0,worker1,0.9256,393,89,468,185
1758416860.790963,da95461c,58,1,1,0,worker1,0.9186,392,89,468,185
1758416860.812282,da95461c,59,1,1,0,worker1,0.9186,392,89,468,185
1758416861.0100732,da95461c,60,1,1,0,worker1,0.9006,392,89,469,185
1758416861.026336,da95461c,61,1,1,0,worker1,0.9006,392,89,469,185
1758416861.207854,da95461c,62,1,1,0,worker1,0.9177,393,89,469,186
1758416861.224116,da95461c,63,1,1,0,worker1,0.9177,393,89,469,186
1758416861.735975,da95461c,64,1,1,0,worker1,0.9116,394,89,469,186
1758416861.7575428,da95461c,65,1,1,0,worker1,0.9116,394,89,469,186
1758416861.950186,da95461c,66,1,1,0,worker1,0.9323,394,89,469,186
1758416861.971804,da95461c,67,1,1,0,worker1,0.9323,393,89,468,186
1758416862.15291,da95461c,68,1,1,0,worker1,0.936,392,89,468,187
1758416862.169299,da95461c,69,1,1,0,worker1,0.936,390,87,469,189
1758416862.360435,da95461c,70,1,1,0,worker1,0.9326,391,90,467,187
1758416862.376837,da95461c,71,1,1,0,worker1,0.9326,390,90,466,187
1758416862.8807948,da95461c,72,1,1,0,worker1,0.917,390,89,466,186
1758416862.89828,da95461c,73,1,1,0,worker1,0.917,390,89,466,186
1758416863.096802,da95461c,74,1,1,0,worker1,0.9136,390,88,466,185
1758416863.1132748,da95461c,75,1,1,0,worker1,0.9136,390,88,466,185
1758416863.3038552,da95461c,76,1,1,0,worker1,0.9126,390,88,466,186
1758416863.319953,da95461c,77,1,1,0,worker1,0.9126,390,88,466,186
1758416863.5361369,da95461c,78,1,1,0,worker1,0.9209,391,88,467,186
1758416863.552387,da95461c,79,1,1,0,worker1,0.9209,392,88,468,186
1758416864.1178482,da95461c,80,1,1,0,worker1,0.9209,392,88,468,186
1758416864.134654,da95461c,81,1,1,0,worker1,0.9209,392,88,468,186
1758416864.326891,da95461c,82,1,1,0,worker1,0.9212,392,88,468,187
1758416864.348507,da95461c,83,1,1,0,worker1,0.9212,392,88,468,187
1758416864.5316749,da95461c,84,1,1,0,worker1,0.9293,392,88,468,187
1758416864.552974,da95461c,85,1,1,0,worker1,0.9293,392,88,468,187
1758416864.732666,da95461c,86,1,1,0,worker1,0.9358,392,88,468,186
1758416864.748696,da95461c,87,1,1,0,worker1,0.9358,392,88,468,186
1758416865.262197,da95461c,88,1,1,0,worker1,0.9317,392,88,468,186
1758416865.279271,da95461c,89,1,1,0,worker1,0.9317,392,88,468,186
1758416865.467916,da95461c,90,1,1,0,worker1,0.9296,391,88,467,187
1758416865.4892,da95461c,91,1,1,0,worker1,0.9296,391,88,467,187
1758416865.6738272,da95461c,92,1,1,0,worker1,0.9267,391,88,467,187
1758416865.695632,da95461c,93,1,1,0,worker1,0.9267,391,88,467,187
1758416865.880575,da95461c,94,1,1,0,worker1,0.9315,391,88,467,187
1758416865.902438,da95461c,95,1,1,0,worker1,0.9315,391,88,467,187
1758416866.418562,da95461c,96,1,1,0,worker1,0.9345,391,89,467,187
1758416866.435083,da95461c,97,1,1,0,worker1,0.9345,391,89,467,187
1758416866.635335,da95461c,98,1,1,0,worker1,0.9329,391,89,467,187
1758416866.651524,da95461c,99,1,1,0,worker1,0.9329,391,89,467,187
1758416866.8507142,da95461c,100,1,1,0,worker1,0.9342,391,89,467,187
1758416866.867483,da95461c,101,1,1,0,worker1,0.9342,391,89,467,187
1758416867.09237,da95461c,102,1,1,0,worker1,0.9331,391,89,467,187
1758416867.1088908,da95461c,103,1,1,0,worker1,0.9331,391,89,467,187
1758416867.64592,da95461c,104,1,1,0,worker1,0.9333,391,89,467,187
1758416867.662146,da95461c,105,1,1,0,worker1,0.9333,391,89,467,187
1758416867.85495,da95461c,106,1,1,0,worker1,0.9333,391,89,467,187
1758416867.871458,da95461c,107,1,1,0,worker1,0.9333,391,89,467,187
1758416868.0570009,da95461c,108,1,1,0,worker1,0.9328,391,89,467,187
1758416868.073486,da95461c,109,1,1,0,worker1,0.9328,391,89,467,187
1758416868.273552,da95461c,110,1,1,0,worker1,0.9315,391,88,467,187
1758416868.2955031,da95461c,111,1,1,0,worker1,0.9315,391,88,467,187
1758416868.865844,da95461c,112,1,1,0,worker1,0.9294,391,88,467,187
1758416868.888774,da95461c,113,1,1,0,worker1,0.9294,391,88,467,187
1758416869.10031,da95461c,114,1,1,0,worker1,0.9342,391,88,468,187
1758416869.123395,da95461c,115,1,1,0,worker1,0.9342,391,88,468,187
1758416869.327722,da95461c,116,1,1,0,worker1,0.9284,392,88,468,187
1758416869.3498209,da95461c,117,1,1,0,worker1,0.9284,392,88,468,187
1758416869.591171,da95461c,118,1,1,0,worker1,0.9267,392,88,468,187
1758416869.6130402,da95461c,119,1,1,0,worker1,0.9267,392,88,468,187
1758416870.1993039,da95461c,120,1,1,0,worker1,0.9266,392,88,468,187
1758416870.221709,da95461c,121,1,1,0,worker1,0.9266,392,88,468,187
1758416870.461998,da95461c,122,1,1,0,worker1,0.9227,392,88,468,186
1758416870.478752,da95461c,123,1,1,0,worker1,0.9227,391,87,469,187
1758416870.679496,da95461c,124,1,1,0,worker1,0.9221,392,88,468,186
1758416870.696117,da95461c,125,1,1,0,worker1,0.9221,391,87,469,187
1758416870.8830001,da95461c,126,1,1,0,worker1,0.9212,392,88,468,186
1758416870.90017,da95461c,127,1,1,0,worker1,0.9212,393,89,468,185
1758416871.443707,da95461c,128,1,1,0,worker1,0.8816,392,88,468,186
1758416871.46119,da95461c,129,1,1,0,worker1,0.8816,391,87,469,187
1758416871.675097,da95461c,130,1,1,0,worker1,0.8817,391,88,468,186
1758416871.6973372,da95461c,131,1,1,0,worker1,0.8817,391,88,468,186
1758416871.8998332,da95461c,132,1,1,0,worker1,0.8795,391,88,468,186
1758416871.922344,da95461c,133,1,1,0,worker1,0.8795,391,88,468,186
1758416872.144869,da95461c,134,1,1,0,worker1,0.8827,391,88,468,186
1758416872.1668868,da95461c,135,1,1,0,worker1,0.8827,389,86,469,188
1758416872.7502131,da95461c,136,1,1,0,worker1,0.8813,391,88,468,186
1758416872.772524,da95461c,137,1,1,0,worker1,0.8813,391,88,468,186
1758416872.9943612,da95461c,138,1,1,0,worker1,0.8896,391,88,468,186
1758416873.02997,da95461c,139,1,1,0,worker1,0.8896,391,88,468,186
1758416873.241838,da95461c,140,1,1,0,worker1,0.8874,391,88,468,186
1758416873.2636359,da95461c,141,1,1,0,worker1,0.8874,391,88,468,186
1758416873.476453,da95461c,142,1,1,0,worker1,0.8884,391,88,468,186
1758416873.4992902,da95461c,143,1,1,0,worker1,0.8884,391,88,468,186
1758416874.067025,da95461c,144,1,1,0,worker1,0.8872,391,88,468,186
1758416874.089355,da95461c,145,1,1,0,worker1,0.8872,391,88,468,186
1758416874.2908108,da95461c,146,1,1,0,worker1,0.8902,391,88,468,186
1758416874.313071,da95461c,147,1,1,0,worker1,0.8902,391,88,468,186
1758416874.6455832,da95461c,148,1,1,0,worker1,0.8873,391,88,468,186
1758416874.671226,da95461c,149,1,1,0,worker1,0.8873,391,88,468,186
1758416874.907694,da95461c,150,1,1,0,worker1,0.8874,391,88,468,186
1758416874.930964,da95461c,151,1,1,0,worker1,0.8874,390,86,470,188
1758416875.958755,da95461c,152,1,1,0,worker1,0.8898,392,88,468,186
1758416875.9825878,da95461c,153,1,1,0,worker1,0.8898,392,88,468,186
1758416876.2011032,da95461c,154,1,1,0,worker1,0.8914,392,88,468,186
1758416876.2179341,da95461c,155,1,1,0,worker1,0.8914,391,86,470,188
1758416876.410597,da95461c,156,1,1,0,worker1,0.8933,392,88,469,186
1758416876.434135,da95461c,157,1,1,0,worker1,0.8933,392,88,469,186
1758416876.647243,da95461c,158,1,1,0,worker1,0.8903,392,88,469,186
1758416876.671,da95461c,159,1,1,0,worker1,0.8903,392,88,469,186
1758416877.2315571,da95461c,160,1,1,0,worker1,0.8869,392,88,469,186
1758416877.254379,da95461c,161,1,1,0,worker1,0.8869,392,88,469,186
1758416877.472041,da95461c,162,1,1,0,worker1,0.8921,392,88,469,186
1758416877.494317,da95461c,163,1,1,0,worker1,0.8921,392,88,469,186
1758416877.689258,da95461c,164,1,1,0,worker1,0.8926,392,88,468,186
