ts,session_id,frame_idx,faces_in_frame,recognized_flag,unknown_flag,worker,confidence,x1,y1,x2,y2
1757829223.4574757,d6ac25d8,0,1,1,0,worker1,0.9171,391,89,466,182
1757829224.4705353,d6ac25d8,5,1,1,0,worker1,0.9194,392,89,467,182
1757829225.8069742,d6ac25d8,10,1,1,0,worker1,0.9259,393,90,468,182
1757829226.6203072,d6ac25d8,15,1,1,0,worker1,0.9211,393,90,469,182
1757829227.4858782,d6ac25d8,20,1,1,0,worker1,0.9385,394,91,470,182
1757829228.4893312,d6ac25d8,25,1,1,0,worker1,0.9405,394,90,470,182
1757829229.5008748,d6ac25d8,30,1,1,0,worker1,0.9457,394,90,470,182
1757829230.435246,d6ac25d8,35,1,1,0,worker1,0.9477,394,90,469,182
1757829231.2539556,d6ac25d8,40,1,1,0,worker1,0.9465,393,90,469,183
1757829232.109581,d6ac25d8,45,1,1,0,worker1,0.9283,393,89,469,184
1757829232.8566062,d6ac25d8,50,1,1,0,worker1,0.9379,392,88,468,185
1757829233.5874588,d6ac25d8,55,1,1,0,worker1,0.9332,392,88,468,186
1757829234.2601316,d6ac25d8,60,1,1,0,worker1,0.9028,392,89,469,186
1757829234.9560502,d6ac25d8,65,1,1,0,worker1,0.9253,394,89,469,186
1757829235.5742078,d6ac25d8,70,1,1,0,worker1,0.9355,391,90,467,187
1757829236.236257,d6ac25d8,75,1,1,0,worker1,0.9096,390,88,466,186
1757829236.8351817,d6ac25d8,80,1,1,0,worker1,0.9203,392,88,468,186
1757829237.4060423,d6ac25d8,85,1,1,0,worker1,0.9313,392,89,468,186
1757829238.0913656,d6ac25d8,90,1,1,0,worker1,0.9315,391,89,467,186
1757829239.2708523,d6ac25d8,95,1,1,0,worker1,0.9297,391,89,467,187
1757829240.0674164,d6ac25d8,100,1,1,0,worker1,0.9331,391,89,467,187
1757829240.8852537,d6ac25d8,105,1,1,0,worker1,0.9325,391,89,467,187
1757829241.628309,d6ac25d8,110,1,1,0,worker1,0.9319,391,89,467,187
1757829242.4768403,d6ac25d8,115,1,1,0,worker1,0.9307,392,88,468,187
1757829243.366466,d6ac25d8,120,1,1,0,worker1,0.9277,392,88,468,187
1757829244.0361555,d6ac25d8,125,1,1,0,worker1,0.9234,392,88,468,186
1757829244.6550477,d6ac25d8,130,1,1,0,worker1,0.8814,391,88,468,186
1757829245.2675714,d6ac25d8,135,1,1,0,worker1,0.8839,391,88,468,186
1757829246.1401494,d6ac25d8,140,1,1,0,worker1,0.8885,391,88,468,186
1757829246.9538875,d6ac25d8,145,1,1,0,worker1,0.8903,391,88,468,186
1757829247.753104,d6ac25d8,150,1,1,0,worker1,0.8887,391,88,468,186
1757829248.5693457,d6ac25d8,155,1,1,0,worker1,0.8936,392,88,468,186
1757829249.9544191,d6ac25d8,160,1,1,0,worker1,0.886,392,88,469,186
1757829251.1801465,d6ac25d8,165,1,1,0,worker1,0.8955,392,88,468,186
1757829251.9832947,d6ac25d8,170,1,1,0,worker1,0.8899,392,88,468,186
1757829252.7409537,d6ac25d8,175,1,1,0,worker1,0.8848,392,88,468,186
1757829253.6082757,d6ac25d8,180,1,1,0,worker1,0.8881,392,89,468,186
